,ISO_A3
0,DNK
1,FIN
2,FIN
3,FIN
4,FIN
5,FIN
6,FIN
7,FIN
8,FIN
9,NOR
10,NOR
11,NOR
12,NOR
13,NOR
14,NOR
15,NOR
16,NOR
17,NOR
18,NOR
19,NLD
20,NLD
21,NOR
22,NOR
23,NOR
24,NOR
25,NOR
26,FRA
27,ITA
28,ESP
29,AZE
30,RUS
31,BLR
32,FRA
33,FRA
34,FRA
35,CMR
36,ESP
37,USA
38,ESP
39,ESP
40,RUS
41,FRA
42,HUN
43,HUN
44,ITA
45,ITA
46,ITA
47,ITA
48,ITA
49,ITA
50,ITA
51,ITA
52,ITA
53,ITA
54,GRC
55,AUS
56,USA
57,USA
58,USA
59,USA
60,IRN
61,CAN
62,PAK
63,PAK
64,RUS
65,UZB
66,AZE
67,AZE
68,USA
69,TJK
70,RUS
71,JPN
72,ETH
73,CHE
74,USA
75,CAN
76,DEU
77,CAN
78,NOR
79,ESP
80,USA
81,USA
82,ETH
83,SWE
84,SWE
85,USA
86,ZAF
87,TUR
88,BGR
89,USA
90,RUS
91,RUS
92,RUS
93,RUS
94,RUS
95,RUS
96,RUS
97,AUS
98,EGY
99,HUN
100,HUN
101,HUN
102,GBR
103,SWE
104,GBR
105,GBR
106,NOR
107,SWE
108,SWE
109,RUS
110,RUS
111,RUS
112,ESP
113,RUS
114,RUS
115,FRA
116,FRA
117,JOR
118,JPN
119,RUS
120,RUS
121,ROU
122,FRA
123,CHE
124,ESP
125,PRI
126,MEX
127,GHA
128,CHE
129,MAR
130,MAR
131,RUS
132,NLD
133,NLD
134,SWE
135,NZL
136,USA
137,DEU
138,DEU
139,DEU
140,CHE
141,CHE
142,CHE
143,CHE
144,CHE
145,ARG
146,CUB
147,URY
148,POL
149,USA
150,CZE
151,CAN
152,DEU
153,FRA
154,POL
155,USA
156,USA
157,USA
158,USA
159,GBR
160,GBR
161,GBR
162,GBR
163,USA
164,USA
165,USA
166,GBR
167,NZL
168,NZL
169,NZL
170,DEU
171,DEU
172,POL
173,GHA
174,CHE
175,NGA
176,NGA
177,BRA
178,BRA
179,NGA
180,BRA
181,FRA
182,FRA
183,DEU
184,GHA
185,USA
186,USA
187,GBR
188,BRA
189,DEU
190,AUT
191,SWE
192,SWE
193,SWE
194,SWE
195,SWE
196,SWE
197,GBR
198,GBR
199,GBR
200,GBR
201,LTU
202,USA
203,USA
204,USA
205,USA
206,USA
207,USA
208,USA
209,USA
210,BRA
211,BRA
212,BRA
213,HUN
214,DEU
215,RUS
216,RUS
217,NGA
218,ROU
219,ZAF
220,PAK
221,ZAF
222,ROU
223,ROU
224,ITA
225,ITA
226,USA
227,FRA
228,NOR
229,RUS
230,RUS
231,RUS
232,NLD
233,NLD
234,FRA
235,FRA
236,FRA
237,CAN
238,CAN
239,CAN
240,USA
241,HUN
242,ITA
243,ITA
244,ITA
245,ITA
246,SWE
247,GRC
248,NLD
249,ARG
250,CUB
251,CUB
252,ESP
253,ESP
254,CUB
255,IDN
256,USA
257,USA
258,GBR
259,FIN
260,SWE
261,SWE
262,SWE
263,SWE
264,FIN
265,SWE
266,USA
267,DEU
268,DEU
269,SWE
270,SWE
271,IDN
272,SWE
273,DEU
274,USA
275,USA
276,USA
277,PAK
278,PAK
279,PAK
280,PAK
281,PAK
282,PAK
283,PAK
284,PAK
285,PAK
286,PAK
287,FIN
288,FIN
289,FIN
290,DEU
291,USA
292,CHL
293,DEU
294,ITA
295,ITA
296,ARG
297,ARG
298,ARG
299,CHE
300,ITA
301,AUT
302,DEU
303,JPN
304,JPN
305,JPN
306,JPN
307,JPN
308,JPN
309,AUS
310,GBR
311,GBR
312,GBR
313,GBR
314,GBR
315,USA
316,GBR
317,GBR
318,CAN
319,GBR
320,AUS
321,AUS
322,AUS
323,FRA
324,UKR
325,GRC
326,NGA
327,CUB
328,CUB
329,CUB
330,NGA
331,CAN
332,NGA
333,GBR
334,GBR
335,GBR
336,JPN
337,JPN
338,TUR
339,JPN
340,TUR
341,TUR
342,TUR
343,SWE
344,SWE
345,SWE
346,USA
347,TUR
348,RUS
349,RUS
350,RUS
351,RUS
352,RUS
353,RUS
354,UZB
355,RUS
356,RUS
357,BGR
358,RUS
359,RUS
360,PAK
361,PAK
362,UGA
363,RUS
364,RUS
365,USA
366,USA
367,USA
368,RUS
369,RUS
370,RUS
371,RUS
372,NGA
